Model,Features,Constraints,Configurations,Homogeneity
software_strategies,57,12,1.87e11,
dm_DOPLERTools.csv,50,15,2.97e11,
dm_DissModel.csv,116,0,130895,
dm_ASEJ1.csv,109,96,6463,
chat_system,10,2,56,
miband2,21,4,24,
miband8_planned,37,1,32256,
miband5_planned,34,1,10752,
miband3_planned,24,1,144,
miband2_realized,21,0,24,
miband7_realized,36,20,26880,
miband8_realized,37,22,32256,
miband7_planned,36,1,26880,
miband1_realized,12,0,1,
miband1s_planned,13,0,2,
miband4,31,16,1792,
miband3,24,8,144,
miband8,37,22,32256,
miband1s,13,0,2,
miband3_realized,24,5,144,
miband7,36,22,26880,
miband6_realized,35,20,21504,
miband6,35,21,21504,
miband1,12,0,1,
miband4_planned,31,1,1792,
miband1_planned,12,0,1,
miband5,34,20,10752,
miband2_planned,21,0,24,
miband5_realized,34,16,10752,
miband4_realized,31,8,1792,
miband1s_realized,13,0,2,
miband6_planned,35,1,21504,
dm_mobile_phone.csv,11,1,127,
2018-01-23,712,1028,2.47e28,
2018-03-26,771,1080,2.44e34,
2017-09-28,704,1136,1.56e27,
2017-10-20,712,1142,5.00e28,
2018-04-23,774,1079,3.67e34,
2018-02-20,759,1034,2.03e35,
2017-05-22,557,1001,3.88e15,
2017-11-20,711,1148,4.99e28,
2017-12-22,716,1148,4.99e28,
2018-05-09,771,1080,7.15e34,
ovm_RFW.ovm,37,11,1.00e7,
ovm_OnlineShop.ovm,14,4,256,
dm_HICSSDM.csv,28,0,589823,
dm_eShop_DM.csv,13,4,767,
automotive2_4,18616,1369,1.64e1596,
automotive01,2513,2833,2.47e310,
calm32_ceb,1186,830,6.68e203,
at91sam7sek,1309,917,3.69e223,
vrc4375,1271,870,2.65e220,
moab,1291,917,2.80e219,
adderII,1289,890,3.28e214,
sparc_erc32,1181,816,4.94e200,
iq80310,1271,897,8.82e218,
tx39_sim,1192,822,1.46e205,
refidt334,1276,870,3.32e221,
cq7750,1281,864,2.75e222,
frv400,1251,862,4.40e218,
uE250,1262,900,2.48e217,
viper,1314,894,5.02e223,
eb40a,1254,890,3.65e215,
pc_vmWare,1268,884,4.97e214,
grg,1254,889,1.19e218,
asb,1244,851,4.10e218,
flexanet,1278,925,6.97e220,
ocelot,1279,872,1.09e224,
mcb2100,1262,882,1.46e216,
psim,1194,826,4.63e204,
mbx,1308,889,8.26e222,
aaed2000,1298,904,3.70e228,
am31_sim,1178,819,5.43e201,
ec555,1280,863,8.78e219,
eb42,1247,884,6.10e214,
cma230,1225,868,4.87e210,
atlas_mips32_4kc,1229,859,4.23e209,
ts1000,1310,886,6.49e222,
picasso,1261,899,1.49e217,
pc_rltk8139,1270,886,5.33e215,
ref4955,1231,862,3.59e210,
nano,1278,911,2.56e219,
mpc50,1226,863,3.32e212,
p2106,1262,882,6.64e216,
prpmc1100,1236,875,7.24e214,
mac7100evb,1247,867,5.75e212,
e7t,1280,883,1.19e224,
XSEngine,1273,886,6.55e224,
gps4020,1226,876,1.28e212,
sleb,1201,827,1.18e203,
assabet,1279,927,4.76e220,
fads,1200,829,1.15e206,
jtst,1254,891,3.65e215,
cerf,1289,935,1.50e222,
integrator_arm7,1272,904,3.74e221,
smdk2410,1279,884,6.91e223,
asb2305,1255,857,4.05e219,
sa1100mm,1235,878,6.02e212,
stb,1265,860,2.52e219,
pati,1261,866,1.68e214,
ea2468,1408,956,7.86e235,
vrc4373,1260,860,7.57e218,
sam7ex256,1345,935,1.24e229,
sparc_leon,1181,816,4.94e200,
edb7xxx,1259,900,9.42e217,
eb40,1253,890,2.43e215,
se77x9,1333,911,5.12e230,
h8max,1215,849,3.26e206,
sh7708,1267,876,5.44e215,
jmr3904,1212,843,1.41e207,
edosk2674,1207,841,5.40e205,
aki3068net,1220,851,1.29e207,
h8300h_sim,1195,828,1.10e203,
adder,1285,890,1.31e214,
vads,1253,865,8.27e212,
sh4_202_md,1272,885,5.17e215,
cme555,1279,863,8.78e219,
ts6,1253,865,8.27e212,
olpch2294,1274,890,6.64e217,
ebsa285,1258,895,1.18e216,
brutus,1234,876,2.34e212,
calm16_ceb,1186,830,6.68e203,
pc_i82544,1272,885,1.61e216,
ixdp425,1260,886,1.33e218,
skmb91302,1230,840,8.37e214,
h8s_sim,1196,828,1.10e203,
pid,1242,891,6.51e214,
excalibur_arm9,1247,877,9.44e216,
sparclite_sim,1181,816,4.94e200,
mace1,1247,867,5.75e212,
npwr,1271,898,8.82e218,
pc_usb_d12,1294,910,7.21e221,
cq7708,1252,858,2.54e213,
m5272c3,1336,877,4.32e232,
cerfpda,1304,946,6.27e223,
olpcl2294,1286,902,4.18e219,
mb93093,1243,859,4.43e217,
ceb_v850,1202,843,2.24e206,
snds,1231,872,5.86e212,
phycore,1287,892,2.09e225,
malta_mips64_5kc,1245,865,5.23e214,
stdeval1,1203,844,4.58e204,
olpce2294,1287,904,7.77e219,
se7751,1309,883,3.74e225,
rattler,1324,894,3.01e226,
mb93091,1263,876,1.88e220,
lpcmt,1262,882,6.64e216,
aim711,1277,912,1.24e218,
eb55,1283,914,1.61e218,
iq80321,1269,898,7.21e218,
ipaq,1271,921,2.87e217,
hs7729pci,1312,886,1.03e227,
dreamcast,1266,867,8.72e213,
integrator_arm9,1281,907,4.86e222,
linux,1245,859,3.73e210,
aeb,1226,875,9.71e210,
cma28x,1217,849,3.22e207,
phycore229x,1373,932,4.46e238,
malta_mips32_4kc,1245,865,5.39e214,
atlas_mips64_5kc,1222,857,8.21e208,
stm3210e_eval,1283,873,2.63e211,
pc_i82559,1272,885,1.61e216,
at91sam7xek,1332,928,3.02e227,
innovator,1270,886,7.95e223,
csb281,1246,871,3.79e213,
linux-2.6.33.3,6467,3545,3.90e1672,
SGPL,94,19,6.69e16,
automotive02_03,18434,1300,9.72e1575,
automotive02_02,17742,914,6.76e1503,
automotive02_01,14010,666,3.17e1301,
automotive02_04,18616,1369,4.22e1597,
2009-12-01_02-32-01,608,667,5.31e182,
2008-10-02_13-30-31,556,576,1.18e167,
2008-08-01_02-15-05,557,612,2.36e167,
2007-09-02_14-51-54,469,501,7.62e140,
2007-12-02_01-43-18,482,515,6.24e144,
2010-02-01_04-55-30,619,679,1.09e186,
2009-10-02_01-10-32,599,652,1.04e180,
2008-12-01_12-36-41,572,597,7.73e171,
2008-07-01_01-57-36,550,593,1.84e165,
2007-08-01_23-30-54,459,486,7.44e137,
2007-11-02_23-31-10,475,511,4.88e142,
2008-03-01_09-35-39,546,582,1.15e164,
2007-10-01_09-59-01,472,505,6.10e141,
2009-08-01_06-53-03,594,648,3.24e178,
2008-11-01_00-10-51,561,581,3.77e168,
2007-07-01_14-53-06,454,480,2.33e136,
2009-11-01_04-01-30,602,657,8.30e180,
2009-03-01_04-50-18,574,615,3.09e172,
2008-09-01_15-23-04,546,601,1.15e164,
2009-06-01_11-26-30,583,629,1.58e175,
2009-07-02_12-04-50,585,637,6.33e175,
2010-05-02_14-17-07,631,681,4.46e189,
2009-04-01_11-24-04,575,615,6.18e172,
2008-01-02_19-55-04,487,521,2.00e146,
2007-05-20_17-12-43,439,463,7.10e131,
2009-09-02_11-49-25,596,649,1.30e179,
2010-03-02_15-02-45,622,681,8.70e186,
2009-01-01_17-52-09,572,597,7.73e171,
2009-02-01_00-40-45,575,613,6.18e172,
2008-06-01_10-10-22,543,586,1.44e163,
2007-06-01_14-40-03,439,463,7.10e131,
2010-01-01_16-45-43,608,667,5.31e182,
2008-02-01_01-41-57,493,525,1.28e148,
2008-04-01_14-47-57,535,562,5.62e160,
2009-05-01_03-00-04,580,620,1.98e174,
2008-05-02_09-19-29,537,566,2.25e161,
2010-04-01_15-09-44,628,691,5.57e188,
embtoolkit,1179,323,6.93e185,
axTLS,96,14,5.65e14,
uClibc,313,56,2.23e54,
uClinux-base,380,3455,2.62e22,
uClinux-distribution,1580,197,2.86e419,
busybox_2010-05-02_14-17-07,631,681,4.46e189,
ovm_MPPL.ovm,10,1,59,
berkeleydb,76,20,1.15e14,
REAL-FM-4,291,21,1.16e51,
busybox-1.18.0,854,67,7.73e212,
ea2468,1408,1281,7.86e235,
linux-2.6.33.3,6467,7650,3.90e1672,
financialservices01,771,1080,7.15e34,
REAL-FM-7,14,2,144,
REAL-FM-4,291,21,1.16e51,
fqa,179,9,5.94e26,
busybox-1.18.0,854,67,7.73e212,
ea2468,1408,1281,7.86e235,
