Model,Features,Constraints,Configurations,Homogeneity
LaGalerna_2020_Salads,44,2,1.10e12,
LaGalerna_2020_Burgers,35,0,3.77e7,
LaGalerna_2023_Salads,46,3,4.40e12,
LaGalerna_2020_Sandwiches,37,2,3.36e8,
Bibra_2025_Wraps,14,14,6,
Bibra_2025_Dressings,15,0,14,
Bibra_2025_Marinades,7,0,6,
Bibra_2025_FinalTouch,13,0,12,
Bibra_2025_Bases,6,0,5,
Bibra_2025_Pokebowls,16,19,64,
Bibra_2025_Ingredients,27,0,26,
Bibra_2025,4,0,8,
Bibra_2025_Proteins,16,0,15,
Bibra_2025_Salad,11,16,8,
Turkish_2025_Ingredients,27,0,26,
Turkish_2025_Kebab,24,10,11520,
Turkish_2025_Calzone,8,5,inf,
Turkish_2025_Pizzas,7,3,inf,
Fuengirola_Pizzas,32,2,2.01e8,
Bausatz_2025_Pfandl,15,19,360,
Bausatz_2025_ScrambledEggs,11,29,2244,
Bausatz_2025_Pasta,19,27,960,
Bausatz_2022_Desserts,21,1,405,
Bausatz_2025_DrinkMix,42,6,5760,
Bausatz_2025_Potatoes,10,18,120,
Bausatz_2025_Pizzas,12,16,111,
Bausatz_2025_Desserts,17,1,297,
Bausatz_2025_Burgers,12,22,84,
Bausatz_2025_ToastedBread,10,20,74,
Bausatz_2025_Ingredients,60,0,59,
Bausatz_2025_Spirits,21,0,20,
Bausatz_2022_Burgers,49,2,1.09e10,
Bausatz_2025_Salads,18,8,558,
FiveGuys_2024,64,7,1.15e13,
NamasteRincon_Pizza,38,4,1.72e10,
JustSalad_2025_Dressings,25,0,1.68e7,
JustSalad_2025_Proteins,8,0,127,
JustSalad_2025_Premiums,10,0,511,
JustSalad_2025,9,0,inf,
JustSalad_2025_Greens,7,0,41,
JustSalad_2025_Salad,18,15,224,
JustSalad_2025_Essentials,45,0,1.76e13,
JustSalad_2025_Cheese,7,7,63,
JustSalad_2025_Other,3,0,3,
JustSalad_2025_Bowl,6,3,2,
JustSalad_2025_Additions,6,0,5,
JustSalad_2025_Wraps,11,15,8,
JustSalad_2025_Bases,7,0,63,
PizzeriaLaTradizionale,43,7,inf,
LaGondolaDeYdai_Pizza,56,9,5.28e14,
Ohana_2022_Poke,70,1,1.01e10,
Ohana_2022_Salad,54,1,144144,
Ohana_2022_Burger,50,2,290304,
