Features: 16.00 (μ=23.45) ±18.00 [3.0 | 9.5 ↔ 37.5 | 70.0]
Feature groups: 1.00 (μ=1.85) ±1.77 [0.0 | 1.0 ↔ 2.0 | 7.0]
Leaf features: 14.00 (μ=20.04) ±16.78 [2.0 | 6.5 ↔ 34.0 | 62.0]
Cross-tree constraints: 2.00 (μ=6.09) ±8.01 [0.0 | 0.0 ↔ 10.5 | 29.0]
Depth of tree: 2.00 (μ=1.77) ±0.70 [1.0 | 1.0 ↔ 2.0 | 4.0]
Branching factor: 6.00 (μ=9.52) ±10.74 [1.7 | 3.1 ↔ 11.2 | 59.0]
Features with attributes: 5.00 (μ=7.45) ±9.15 [0.0 | 2.0 ↔ 8.5 | 41.0]


STRUCTURAL METRICS:
Features: 23.00 (μ=26.78) ±19.18 [3.0 | 7.2 ↔ 43.8 | 70.0]
  Abstract features: 1.00 (μ=1.94) ±2.39 [0.0 | 0.0 ↔ 3.0 | 8.0]
    Abstract compound features: 1.00 (μ=1.94) ±2.39 [0.0 | 0.0 ↔ 3.0 | 8.0]
    Abstract leaf features: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
  Concrete features: 22.50 (μ=24.83) ±17.63 [3.0 | 7.2 ↔ 41.5 | 62.0]
    Concrete compound features: 1.00 (μ=0.72) ±0.78 [0.0 | 0.0 ↔ 1.0 | 3.0]
    Concrete leaf features: 22.00 (μ=24.11) ±17.78 [2.0 | 6.0 ↔ 41.2 | 62.0]
  Root feature: 1.00 (μ=1.00) ±0.00 [1.0 | 1.0 ↔ 1.0 | 1.0]
  Top features: 6.00 (μ=10.61) ±12.14 [2.0 | 3.0 ↔ 11.5 | 59.0]
  Compound features: 1.00 (μ=2.67) ±2.27 [1.0 | 1.0 ↔ 4.0 | 8.0]
  Leaf features: 22.00 (μ=24.11) ±17.78 [2.0 | 6.0 ↔ 41.2 | 62.0]
  Grouped features: 22.00 (μ=22.89) ±17.29 [0.0 | 6.0 ↔ 37.5 | 60.0]
  Solitary features: 2.00 (μ=3.89) ±3.61 [1.0 | 1.0 ↔ 6.8 | 12.0]
  Boolean features: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
  Typed features: 0.00 (μ=3.22) ±8.26 [0.0 | 0.0 ↔ 2.8 | 44.0]
    Numerical features: 0.00 (μ=3.00) ±8.30 [0.0 | 0.0 ↔ 2.0 | 44.0]
      Integer features: 0.00 (μ=3.00) ±8.30 [0.0 | 0.0 ↔ 2.0 | 44.0]
      Real features: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
    String features: 0.00 (μ=0.22) ±0.42 [0.0 | 0.0 ↔ 0.0 | 1.0]
  Multi-features: 0.00 (μ=0.25) ±0.65 [0.0 | 0.0 ↔ 0.0 | 3.0]
