Model,Features,Constraints,Configurations,Homogeneity
Knuppel2017_Pizza1,12,1,56,
Sundermann2024_Pizza,17,5,1200,
Drave2019_Pizza2,15,1,496,
Apel2013_Sandwich,42,0,5.51e7,
Knuppel2017_Pizza2,8,1,14,
Knuppel2017_Pizza4,17,2,392,
Galindo2023_Sandwich3,7,1,16,
Sundermann2024_Icecream,9,2,24,
Galindo2023_Sandwich2,10,0,24,
Montero2008_FastFoodRestaurant,11,2,16,
Drave2019_Pizza3,15,1,496,
Drave2019_Pizza1,13,0,128,
Sundermann2024_VendingMachine,9,2,28,
Knuppel2017_Pizza3,12,2,56,
Galindo2023_Sandwich1,6,1,6,
Heb2024_Toasty,10,1,24,
