Features: 11.50 (μ=13.31) ±8.35 [6.0 | 9.0 ↔ 15.0 | 42.0]
Feature groups: 3.00 (μ=2.75) ±1.39 [1.0 | 2.0 ↔ 3.0 | 7.0]
Leaf features: 8.00 (μ=9.44) ±6.99 [4.0 | 6.0 ↔ 11.0 | 34.0]
Cross-tree constraints: 1.00 (μ=1.38) ±1.20 [0.0 | 1.0 ↔ 2.0 | 5.0]
Depth of tree: 2.00 (μ=2.06) ±0.25 [2.0 | 2.0 ↔ 2.0 | 3.0]
Branching factor: 2.88 (μ=3.02) ±0.68 [2.2 | 2.7 ↔ 3.3 | 5.1]
Features with attributes: 0.00 (μ=0.62) ±2.50 [0.0 | 0.0 ↔ 0.0 | 10.0]


STRUCTURAL METRICS:
Features: 11.50 (μ=13.31) ±8.35 [6.0 | 9.0 ↔ 15.0 | 42.0]
  Abstract features: 0.00 (μ=2.00) ±3.03 [0.0 | 0.0 ↔ 4.0 | 9.0]
    Abstract compound features: 0.00 (μ=1.81) ±2.64 [0.0 | 0.0 ↔ 4.0 | 8.0]
    Abstract leaf features: 0.00 (μ=0.19) ±0.75 [0.0 | 0.0 ↔ 0.0 | 3.0]
  Concrete features: 9.00 (μ=11.31) ±7.01 [5.0 | 7.2 ↔ 14.5 | 34.0]
    Concrete compound features: 2.50 (μ=2.06) ±1.81 [0.0 | 0.0 ↔ 3.8 | 5.0]
    Concrete leaf features: 8.00 (μ=9.25) ±6.99 [4.0 | 6.0 ↔ 10.5 | 34.0]
  Root feature: 1.00 (μ=1.00) ±0.00 [1.0 | 1.0 ↔ 1.0 | 1.0]
  Top features: 3.50 (μ=3.69) ±1.30 [2.0 | 3.0 ↔ 4.0 | 7.0]
  Compound features: 4.00 (μ=3.88) ±1.50 [2.0 | 3.0 ↔ 4.0 | 8.0]
  Leaf features: 8.00 (μ=9.44) ±6.99 [4.0 | 6.0 ↔ 11.0 | 34.0]
  Grouped features: 6.50 (μ=8.06) ±7.29 [2.0 | 5.0 ↔ 9.0 | 34.0]
  Solitary features: 5.00 (μ=5.06) ±1.61 [3.0 | 4.0 ↔ 5.0 | 9.0]
  Boolean features: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
  Typed features: 0.00 (μ=0.19) ±0.75 [0.0 | 0.0 ↔ 0.0 | 3.0]
    Numerical features: 0.00 (μ=0.06) ±0.25 [0.0 | 0.0 ↔ 0.0 | 1.0]
      Integer features: 0.00 (μ=0.06) ±0.25 [0.0 | 0.0 ↔ 0.0 | 1.0]
      Real features: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
    String features: 0.00 (μ=0.12) ±0.50 [0.0 | 0.0 ↔ 0.0 | 2.0]
  Multi-features: 0.00 (μ=0.06) ±0.25 [0.0 | 0.0 ↔ 0.0 | 1.0]
Tree relationships: 6.00 (μ=7.00) ±2.73 [4.0 | 5.2 ↔ 8.0 | 14.0]
  Mandatory features: 2.00 (μ=2.56) ±1.90 [1.0 | 1.0 ↔ 3.0 | 7.0]
  Optional features: 1.50 (μ=1.69) ±1.20 [0.0 | 1.0 ↔ 2.0 | 4.0]
  Feature groups: 3.00 (μ=2.75) ±1.39 [1.0 | 2.0 ↔ 3.0 | 7.0]
    Alternative groups: 2.00 (μ=1.56) ±0.73 [0.0 | 1.0 ↔ 2.0 | 3.0]
    Or groups: 1.00 (μ=1.12) ±0.96 [0.0 | 1.0 ↔ 1.0 | 4.0]
    Mutex groups: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
    Cardinality groups: 0.00 (μ=0.06) ±0.25 [0.0 | 0.0 ↔ 0.0 | 1.0]
Depth of tree: 2.00 (μ=2.06) ±0.25 [2.0 | 2.0 ↔ 2.0 | 3.0]
  Mean depth of tree: 1.88 (μ=1.89) ±0.25 [1.5 | 1.7 ↔ 2.0 | 2.6]
Branching factor: 2.88 (μ=3.02) ±0.68 [2.2 | 2.7 ↔ 3.3 | 5.1]
  Min children per feature: 2.00 (μ=2.06) ±0.25 [2.0 | 2.0 ↔ 2.0 | 3.0]
  Max children per feature: 4.00 (μ=4.25) ±1.34 [3.0 | 3.0 ↔ 5.0 | 8.0]
  Avg children per feature: 0.92 (μ=0.91) ±0.04 [0.8 | 0.9 ↔ 0.9 | 1.0]
Cross-tree constraints: 1.00 (μ=1.38) ±1.20 [0.0 | 1.0 ↔ 2.0 | 5.0]
  Logical constraints: 1.00 (μ=1.12) ±0.72 [0.0 | 1.0 ↔ 2.0 | 2.0]
    Single feature constraints: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
    Simple constraints: 1.00 (μ=0.88) ±0.72 [0.0 | 0.0 ↔ 1.0 | 2.0]
      Requires constraints: 1.00 (μ=0.56) ±0.51 [0.0 | 0.0 ↔ 1.0 | 1.0]
      Excludes constraints: 0.00 (μ=0.31) ±0.60 [0.0 | 0.0 ↔ 0.8 | 2.0]
    Complex constraints: 0.00 (μ=0.25) ±0.68 [0.0 | 0.0 ↔ 0.0 | 2.0]
      Pseudo-complex constraints: 0.00 (μ=0.19) ±0.54 [0.0 | 0.0 ↔ 0.0 | 2.0]
      Strict-complex constraints: 0.00 (μ=0.06) ±0.25 [0.0 | 0.0 ↔ 0.0 | 1.0]
  Arithmetic constraints: 0.00 (μ=0.12) ±0.50 [0.0 | 0.0 ↔ 0.0 | 2.0]
  Aggregation constraints: 0.00 (μ=0.12) ±0.50 [0.0 | 0.0 ↔ 0.0 | 2.0]
  Features in constraints: 2.00 (μ=2.50) ±1.75 [0.0 | 2.0 ↔ 4.0 | 6.0]
    Min features per constraint: 2.00 (μ=1.62) ±1.02 [0.0 | 0.5 ↔ 2.0 | 3.0]
    Max features per constraint: 2.00 (μ=1.75) ±0.93 [0.0 | 2.0 ↔ 2.0 | 3.0]
    Avg features per constraint: 2.00 (μ=1.69) ±0.95 [0.0 | 1.2 ↔ 2.0 | 3.0]
  Min constraints per feature: 1.00 (μ=0.81) ±0.40 [0.0 | 1.0 ↔ 1.0 | 1.0]
  Max constraints per feature: 1.00 (μ=0.94) ±0.57 [0.0 | 1.0 ↔ 1.0 | 2.0]
  Avg constraints per feature: 1.00 (μ=0.86) ±0.45 [0.0 | 1.0 ↔ 1.0 | 1.5]
Attributes: 0.00 (μ=0.12) ±0.50 [0.0 | 0.0 ↔ 0.0 | 2.0]
  Features with attributes: 0.00 (μ=0.62) ±2.50 [0.0 | 0.0 ↔ 0.0 | 10.0]
  Min attributes per feature: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
  Max attributes per feature: 0.00 (μ=0.06) ±0.25 [0.0 | 0.0 ↔ 0.0 | 1.0]
  Avg attributes per feature: 0.00 (μ=0.04) ±0.15 [0.0 | 0.0 ↔ 0.0 | 0.6]
  Avg attributes per feature w. attributes: 0.00 (μ=0.06) ±0.25 [0.0 | 0.0 ↔ 0.0 | 1.0]
SEMANTIC METRICS:
Satisfiable (valid): 1.00 (μ=1.00) ±0.00 [1.0 | 1.0 ↔ 1.0 | 1.0]
Core features: 3.00 (μ=3.56) ±1.90 [2.0 | 2.0 ↔ 4.0 | 8.0]
  False-optional features: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
Dead features: 0.00 (μ=0.00) ±0.00 [0.0 | 0.0 ↔ 0.0 | 0.0]
Variant features: 8.00 (μ=9.75) ±7.04 [4.0 | 6.0 ↔ 11.0 | 34.0]
Configurations: 20.00 (μ=75.90) ±109.89 [5.0 | 11.0 ↔ 128.0 | 304.0]
  Boolean configurations: 22.00 (μ=76.78) ±106.22 [5.0 | 11.2 ↔ 118.5 | 304.0]
Total variability: 1.41 (μ=2.34) ±2.70 [0.1 | 0.7 ↔ 2.4 | 9.4]
Partial variability: 10.37 (μ=14.82) ±11.63 [0.3 | 6.9 ↔ 18.4 | 38.7]
  Unbounded features: 1.00 (μ=1.00) ±0.00 [1.0 | 1.0 ↔ 1.0 | 1.0]
