Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
LaGalerna_2020_Salads,42,4,0,3,0,2,0,1,2,1,0
LaGalerna_2020_Burgers,33,9,0,4,0,0,0,0,2,0,0
LaGalerna_2023_Salads,44,4,0,3,0,3,0,4,2,1,0
LaGalerna_2020_Sandwiches,35,7,0,4,0,2,0,1,2,1,0
Bibra_2025_Wraps,14,12,13,0,0,1,1,3,0,0,5
Bibra_2025_Dressings,15,1,0,2,0,0,0,0,0,0,0
Bibra_2025_Marinades,7,1,0,2,0,0,0,0,0,0,0
Bibra_2025_FinalTouch,13,1,0,0,0,0,0,0,0,0,0
Bibra_2025_Bases,6,1,0,0,0,0,0,0,0,0,0
Bibra_2025_Pokebowls,16,14,18,1,0,1,3,2,0,0,6
Bibra_2025_Ingredients,27,1,0,1,0,0,0,0,0,0,0
Bibra_2025,4,3,0,2,0,0,0,0,0,0,3
Bibra_2025_Proteins,16,1,0,3,0,0,0,0,0,0,0
Bibra_2025_Salad,11,10,15,0,0,1,2,3,0,0,5
Turkish_2025_Ingredients,27,1,0,0,0,0,0,0,0,0,0
Turkish_2025_Kebab,24,16,9,1,0,1,0,2,0,0,0
Turkish_2025_Calzone,8,4,5,1,0,0,1,0,0,0,1
Turkish_2025_Pizzas,7,5,0,2,0,3,1,0,0,0,1
Fuengirola_Pizzas,32,5,2,3,0,0,0,0,0,0,0
Bausatz_2025_Pfandl,13,11,17,2,0,2,1,0,2,0,1
Bausatz_2025_ScrambledEggs,9,9,27,2,0,2,2,0,2,0,1
Bausatz_2025_Pasta,17,12,25,2,0,2,1,0,2,0,1
Bausatz_2022_Desserts,21,4,0,2,0,1,1,3,0,0,0
Bausatz_2025_DrinkMix,39,15,3,3,0,3,2,1,3,1,1
Bausatz_2025_Potatoes,8,7,16,2,0,2,1,0,2,0,1
Bausatz_2025_Pizzas,10,9,14,2,0,2,1,0,2,0,1
Bausatz_2025_Desserts,17,4,0,2,0,1,1,3,0,0,0
Bausatz_2025_Burgers,9,10,19,2,0,3,1,1,3,1,1
Bausatz_2025_ToastedBread,8,8,18,2,0,2,1,0,2,0,1
Bausatz_2025_Ingredients,60,1,0,2,0,0,0,0,0,0,0
Bausatz_2025_Spirits,21,1,0,3,0,0,0,0,0,0,0
Bausatz_2022_Burgers,46,14,0,3,1,2,0,0,3,0,0
Bausatz_2025_Salads,16,8,6,2,0,2,1,0,2,0,1
FiveGuys_2024,64,30,3,7,0,4,0,0,0,0,0
NamasteRincon_Pizza,38,6,4,0,0,0,0,0,0,0,0
JustSalad_2025_Dressings,1,1,0,18,0,0,0,0,24,0,0
JustSalad_2025_Proteins,1,1,0,18,0,0,0,0,7,0,0
JustSalad_2025_Premiums,1,1,0,13,0,0,0,0,9,0,0
JustSalad_2025,9,8,0,12,0,0,3,0,0,0,3
JustSalad_2025_Greens,7,0,0,12,1,0,0,0,0,0,0
JustSalad_2025_Salad,18,13,14,0,0,1,0,3,0,0,7
JustSalad_2025_Essentials,1,1,0,20,0,0,0,0,44,0,0
JustSalad_2025_Cheese,1,1,0,14,0,7,0,0,6,0,0
JustSalad_2025_Other,1,1,0,1,0,0,0,0,2,0,0
JustSalad_2025_Bowl,6,5,3,0,0,0,0,0,0,0,4
JustSalad_2025_Additions,6,1,0,1,0,0,0,0,0,0,0
JustSalad_2025_Wraps,11,10,14,0,0,1,0,3,0,0,7
JustSalad_2025_Bases,1,1,0,12,0,0,0,0,6,0,0
LaGondolaDeYdai_Pizza,56,9,4,4,0,5,0,2,0,0,0
Ohana_2022_Poke,70,14,0,4,2,1,0,2,0,0,0
Ohana_2022_Salad,54,12,0,3,0,1,0,2,0,0,0
Ohana_2022_Burger,49,17,0,4,0,2,0,3,1,1,0
PizzeriaLaTradizionale,40,12,4,5,0,3,1,1,3,1,0
