Marca temporal,Primary role: What best describes your primary role? ,Experience: How many years of experience do you have with variability modeling? ,UVL experience: What is your level of experience with the UVL language?,Usage context: In which context(s) do you mainly use variability models? (Select all that apply),Your country:,Your institution or organization (optional):,UVL constructs usage: Which UVL language constructs do you (typically) use to model variability? (Select all that apply) ,CVMS 1: Identifying abstract features. How important is the explicit distinction between abstract (structural) features and concrete (implementable) features? ,"CVMS 2: Feature metadata and attribute. How important is the ability to define metadata for attributes (e.g., units, descriptions, default values, deltas, semantics) in a consistent manner, for example through a dedicated attributes section? ","CVMS 3: Exact selections in variation points.  How important is it to provide first-class support for specifying that exactly a given set of features (no more, no less, no others) must be selected in a variation point (e.g., in a large or-group) for a specific configuration? ","CVMS 4: Mutual exclusivity of unrelated features. How important is first-class support for mutual exclusion constraints between features in different branches of the feature tree (e.g., as a direct XOR-like constraint rather than a combination of requires and excludes)? ","CVMS 5: Imports and context-sensitive features. How important is supporting the detection and handling of dead or false-optional features that depend on the context of imported submodels? That is, features that become dead when a submodel is imported (due to constraints), but are not dead in the context of the whole product line. ","CVMS 6: Dynamic attributes based on feature selection. How important is native support for attributes whose values depend on selected features (e.g., dynamic pricing rules)? Example: BigSize => Pizza.Price == 12.50","CVMS 7: Referencing features inside attributes. How important is allowing attribute values to directly reference feature selections? Example: Ingredient { Price { Big 12.50, Medium 8.00 } }, where Big and Medium refer to feature selections. ","CVMS 8: Shared attribute values in large variation points. How important is avoiding duplication when assigning shared attribute values in large variation points? Example: an alternative group with tens of variants, and all variants have the same attribute values.","CVMS 9: Constraints over feature cardinalities (aka clonable features, multi-features). How important is the ability to express constraints over clones, counts, or instances of features with cardinality? That is, introducing dedicated operators in constraints such as for all, exists, etc.","CVMS 10: Explicit domains for typed features. How important is the ability to define bounded or finite domains for Integer, Real, or String features, without having to specify bounding constraints for each feature individually? ","Final Open Question: Are there any additional variability modeling challenges that you consider important for the future evolution of UVL? If so, please describe them below. You may also use this space to provide any additional comments. "
16/01/2026 16:38:10,Academic researcher,More than 10 years,Used in research prototypes,Research,Spain,,"Arithmetic constraints: Numeric operators and aggregate functions (+, −, ×, ÷, ==, !=, <, >, ≤, ≥, sum(), avg(), …), Feature cardinalities (clonable features)",4,4,4,2,2,4,2,5,5,3,
16/01/2026 16:50:04,Academic researcher,1-3 years,Used in research prototypes,Research,Spain,University of Seville,Feature attributes,1,5,5,3,5,5,2,2,3,1,"The order of features. Let's say a pizza. First it is the bread (assuming it is not mandatory), then the tomatoe, and so it goes. Any other order would not be (should not be) a pizza. Therefore, having a order of compilation, orchestration, or composition could be quite relevant for some specific domains. Why not using a REQUIRE? Because Bread does not requires Tomatoe, but it should be implemented first though."
16/01/2026 17:40:11,PhD student,1-3 years,Used in small examples,"Research, Tool development",Spain,Universidad de Cádiz,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔), Feature attributes, Arithmetic constraints: Numeric operators and aggregate functions (+, −, ×, ÷, ==, !=, <, >, ≤, ≥, sum(), avg(), …)",,3,3,4,,1,2,4,,2,
16/01/2026 18:10:28,Academic researcher,7-10 years,Part of the UVL ecosystem design and/or development,"Research, Teaching, Tool development",Germany,,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔), Feature attributes, Arithmetic constraints: Numeric operators and aggregate functions (+, −, ×, ÷, ==, !=, <, >, ≤, ≥, sum(), avg(), …), Typed features: numerical features (Integer, Real), and String features",2,4,4,2,4,4,4,2,2,4,We may want to have some of the proposed solutions for those challenges added as new minor levels?
16/01/2026 18:18:31,Academic researcher,1-3 years,Used in small examples,Research,Spain,Seville University ,Feature attributes,4,3,3,5,5,5,4,5,3,5,
16/01/2026 19:33:55,Academic researcher,More than 10 years,Used in research prototypes,Research,Spain,UNED,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔)",4,3,2,5,5,3,3,3,2,3,
16/01/2026 19:56:05,PhD student,1-3 years,Used in research prototypes,Research,Spain,Universidad de Sevilla,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔), Feature attributes, Typed features: numerical features (Integer, Real), and String features",3,4,4,4,4,5,4,4,5,4,
16/01/2026 20:13:26,Academic researcher,More than 10 years,None,Research,Spain,University of Malaga,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔)",5,4,3,5,2,1,1,1,3,1,
16/01/2026 21:00:38,Academic researcher,Less than 1 year,Used in research prototypes,Research,Spain,University of Málaga,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔), Feature attributes, Feature cardinalities (clonable features), Typed features: numerical features (Integer, Real), and String features",5,5,4,5,5,5,4,3,5,5,
17/01/2026 0:22:52,Academic researcher,7-10 years,Used in research prototypes,Research,Spain,Universidad de Málaga,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔), Feature attributes, Arithmetic constraints: Numeric operators and aggregate functions (+, −, ×, ÷, ==, !=, <, >, ≤, ≥, sum(), avg(), …), Feature cardinalities (clonable features), Typed features: numerical features (Integer, Real), and String features, Variant-wise Attributes",3,5,5,5,3,3,1,1,3,5,
17/01/2026 1:03:41,Academic researcher,More than 10 years,Used in small examples,"Research, Teaching",Austria,,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔)",3,3,3,3,4,4,4,3,4,5,
17/01/2026 12:46:58,Academic researcher,More than 10 years,Read-only / learning,"Research, Teaching",Spain,Rey Juan Carlos University,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔), Feature attributes, Feature cardinalities (clonable features)",5,3,4,2,4,5,3,4,4,2,Dynamic properties aimed to support runrime variability concepts
17/01/2026 22:59:29,Academic researcher,More than 10 years,Read-only / learning,Research,Belgique,U. Namur,"Boolean level: Boolean features, groups (mandatory, optional, or, alternative, group cardinality), and logical constraints (!, &, |, ⇒, ⇔), Feature attributes, Arithmetic constraints: Numeric operators and aggregate functions (+, −, ×, ÷, ==, !=, <, >, ≤, ≥, sum(), avg(), …), Feature cardinalities (clonable features), Typed features: numerical features (Integer, Real), and String features",4,4,1,2,2,4,2,1,4,3,"I use clonable features a lot, e.g. to represent the furniture in a flat."
